Tickers;CNPJ;Razão social
MNDL3;88.610.191/0001-54;MUNDIAL S.A – PRODUTOS DE CONSUMO
POMO3, POMO4;88.611.835/0001-29;MARCOPOLO SA
PTNT3, PTNT4;88.613.658/0001-10;PETTENATI SA IND TEXTIL
RAPT3, RAPT4;89.086.144/0001-16;RANDON S.A. IMPLEMENTOS E PARTICIPAÇÕES
SLCE3;89.096.457/0001-55;SLC AGRICOLA SA
LUPA11, LUPA3;89.463.822/0001-12;LUPATECH S/A – EM RECUPERAÇÃO JUDICIAL
KLBN11, KLBN3, KLBN4;89.637.490/0001-45;KLABIN S.A.
GRND3;89.850.341/0001-60;GRENDENE SA
MNPR3;90.076.886/0001-40;MINUPAR PARTICIPACOES SA
SANB11, SANB3, SANB4;90.400.888/0001-42;BANCO SANTANDER (BRASIL) S.A.
UCAS3;90.441.460/0001-48;UNICASA INDÚSTRIA DE MÓVEIS S.A.
RCSL3, RCSL4;91.333.666/0001-17;RECRUSUL SA
STTR3;91.495.499/0001-00;STARA S.A. – INDÚSTRIA DE IMPLEMENTOS AGRÍCOLAS
FNCN3;91.669.747/0001-92;FINANSINOS S/A-CRÉDITO, FINAN. E INVEST.
KEPL11, KEPL3;91.983.056/0001-69;KEPLER WEBER SA
CGRA3, CGRA4;92.012.467/0001-70;GRAZZIOTIN SA
LUXM3, LUXM4;92.660.570/0001-26;TREVISA  INVESTIMENTOS SA
PNVL3, PNVL4;92.665.611/0001-77;DIMED SA DISTRIBUIDORA DE MEDICAMENTOS
GOAU3, GOAU4;92.690.783/0001-09;METALURGICA GERDAU SA
PATI3, PATI4;92.693.019/0001-89;PANATLANTICA SA
BRSR3, BRSR5, BRSR6;92.702.067/0001-96;BANCO DO ESTADO DO RIO GRANDE DO SUL SA
EEEL3, EEEL4;92.715.812/0001-31;CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA
HETA3, HETA4;92.749.225/0001-63;HERCULES S/A – FABRICA DE TALHERES
LREN3;92.754.738/0001-62;LOJAS RENNER SA
TASA13, TASA15, TASA17, TASA3, TASA4;92.781.335/0001-02;TAURUS ARMAS S.A.
RANI3, RANI4;92.791.243/0001-03;CELULOSE IRANI SA
SPRI3, SPRI5, SPRI6;92.929.520/0001-00;SPRINGER SA
MAPT3, MAPT4;93.828.986/0001-73;CEMEPE INVESTIMENTOS SA
BAUH3, BAUH4;95.426.862/0001-97;EXCELSIOR ALIMENTOS SA.
ODER3, ODER4;97.191.902/0001-94;CONSERVAS ODERICH SA
DTEX3;97.837.181/0001-47;DURATEX S.A.
